date,min,max,median,q1,q3,stdev,count
2020-09-14T00:00:00.000Z,1,3,2,1,3,0.795,30
2020-09-15T00:00:00.000Z,3,41,16,10,19,6.005,168
2020-09-16T00:00:00.000Z,0,45,19,0,32,15.88,36
2020-09-17T00:00:00.000Z,0,31,0,0,1,2.774,155
2020-09-18T00:00:00.000Z,0,42,1,0,3,3.442,327
2020-09-19T00:00:00.000Z,1,33,8,5,10,4.71,317
2020-09-20T00:00:00.000Z,7,130,13,11,16.5,8.601,244
2020-09-21T00:00:00.000Z,7,39,17,14,20.25,5.755,225
2020-09-22T00:00:00.000Z,10,81,22,15,33,11.8,340
2020-09-23T00:00:00.000Z,13,125,37,29,47,14.875,446
2020-09-24T00:00:00.000Z,1,93,14,4,61.33,28.9,471
2020-09-25T00:00:00.000Z,0,44,15,9,20,8.481,356
2020-09-26T00:00:00.000Z,0,51,9,5,39,16.721,282
2020-09-27T00:00:00.000Z,20,51,32,25,40,8.144,235
2020-09-28T00:00:00.000Z,1,31,13,6,23,8.747,276
2020-09-29T00:00:00.000Z,4,298,11,10,15,18.475,259
2020-09-30T00:00:00.000Z,7,51,17,14,21,5.267,387
2020-10-01T00:00:00.000Z,10,68,23,17,29,7.649,316
2020-10-02T00:00:00.000Z,7,62,26,13,38,15.314,289
2020-10-03T00:00:00.000Z,19,63,30.5,26,42.5,11.171,292
2020-10-04T00:00:00.000Z,3,59,12,7.5,43.5,17.822,320
2020-10-05T00:00:00.000Z,0,31,5,3,23,10.345,236
2020-10-06T00:00:00.000Z,1,38,9,6,14,7.644,341
2020-10-07T00:00:00.000Z,2,19,7,5,10,3.178,351
2020-10-08T00:00:00.000Z,0,16,4,3,6,2.494,333
2020-10-09T00:00:00.000Z,0,7,2,1,3,1.3,389
2020-10-10T00:00:00.000Z,0,27,2,1,5,4.153,424
2020-10-11T00:00:00.000Z,0,271,3,2,7,20.73,438
2020-10-12T00:00:00.000Z,0,80,5,3,9,8.515,367
2020-10-13T00:00:00.000Z,0,81,3,1,8,11.11,423
2020-10-14T00:00:00.000Z,0,5,1,1,2,0.917,423
2020-10-15T00:00:00.000Z,0,42,1,1,3,5.895,428
2020-10-16T00:00:00.000Z,0,64,2,1,6,6.121,435
2020-10-17T00:00:00.000Z,0,20,2,1,4,2.192,442
2020-10-18T00:00:00.000Z,0,53,2,0,3,6.203,446
2020-10-19T00:00:00.000Z,0,156,3,2,8,18.947,441
2020-10-20T00:00:00.000Z,2,59,30,17,39,14.588,449
2020-10-21T00:00:00.000Z,9,76,38,25,63,20.041,436
2020-10-22T00:00:00.000Z,0,20,6,3,8,3.365,435
2020-10-23T00:00:00.000Z,0,22,3.5,1,5,3.891,430
2020-10-24T00:00:00.000Z,1,114,11.5,5,32,18.684,442
2020-10-25T00:00:00.000Z,2,33,7,5,9,5.909,487
2020-10-26T00:00:00.000Z,2,93,10,7,13,5.919,475
2020-10-27T00:00:00.000Z,5,32,15,12,20,5.631,454
2020-10-28T00:00:00.000Z,1,50,8,6,11,5.134,469
2020-10-29T00:00:00.000Z,1,28,8,5,11,4.041,465
2020-10-30T00:00:00.000Z,1,83,9,6,12,7.02,477
2020-10-31T00:00:00.000Z,1,75,16,11,22,7.635,484
2020-11-01T00:00:00.000Z,4,40,18,12,27,8.364,486
2020-11-02T00:00:00.000Z,0,24,6,4,9,5.455,472
2020-11-03T00:00:00.000Z,0,11,4,2,5,2.107,461
